30 100
1 060535 389
1 061021 593
1 060611 420
1 060315 470
1 060231 345
1 055521 437
1 060218 372
1 055911 214
2 055821 412
3 055457 512
3 055221 544
3 055710 354
3 055836 393
3 055955 375
3 055823 315
3 060132 314
4 060554 182
5 060638 368
5 060536 568
5 060604 346
6 060712 552
7 061446 306
8 061222 457
8 060852 455
8 060603 494
8 061030 539
8 061244 516
8 061215 572
8 061144 341
8 061051 309
8 061545 350
9 061520 383
9 061909 427
10 062431 135
11 062218 408
11 062433 319
12 062958 519
12 062705 338
13 062922 383
14 063507 415
14 063520 186
15 063050 556
15 063435 307
15 063758 400
15 063614 385
15 063732 499
15 063640 397
15 063518 550
15 064023 365
15 063904 349
15 063027 491
15 063518 376
16 064433 335
16 063934 513
16 064005 369
17 064618 553
17 064626 444
17 064438 328
17 064412 138
18 065408 327
18 065137 568
18 064904 335
18 064405 184
19 064544 388
19 064613 339
20 064919 251
21 064800 353
21 065215 318
21 065501 369
21 065011 586
21 065131 454
21 065151 366
21 065009 584
21 064838 425
22 065341 322
23 065852 411
23 065729 394
24 070030 271
25 070042 526
26 070310 575
26 070404 399
26 070931 535
26 070620 419
27 070821 592
28 071656 230
29 071650 465
29 071233 562
29 071519 566
29 071354 573
29 071851 479
29 071407 532
29 071750 366
29 071100 596
29 071450 529
29 071025 333
29 072025 405
29 071216 416
29 071721 433
29 071525 340
29 071623 511
