40 150
1 055857 307
2 060333 325
3 060336 597
3 060247 555
3 055729 441
3 055929 435
3 060147 514
3 060437 504
3 060135 357
3 060236 590
3 060533 476
3 060125 431
3 060910 564
3 060413 435
3 060614 238
4 061057 459
4 060240 302
4 060650 413
5 060813 374
5 060507 526
5 060335 389
5 060638 306
5 055851 539
5 060229 461
5 060805 454
5 060542 406
5 060546 442
5 060753 475
5 060848 498
6 060910 476
6 061325 280
7 062113 521
7 061751 587
7 061121 370
7 061619 319
8 061157 487
8 061759 514
8 061931 326
8 061238 344
8 061629 529
8 062345 398
8 061928 253
9 062241 327
10 062634 302
10 062433 487
10 062357 561
10 062844 529
10 063041 540
10 062324 427
10 062632 393
11 062913 525
11 063256 267
12 063116 551
12 063308 323
13 064038 501
13 063723 320
14 064307 533
14 064123 429
14 063835 386
14 064156 459
14 063945 525
14 064014 190
15 063701 451
15 063724 365
15 064023 291
16 064431 254
17 064800 349
17 064434 386
17 064240 425
17 064517 401
17 064904 414
17 064433 391
18 064829 336
19 065233 274
20 065225 464
20 065250 545
21 065658 371
22 070640 425
22 070459 589
22 065743 545
22 065729 536
22 070229 310
23 070524 365
24 071038 464
24 070914 365
24 071229 314
24 071406 315
24 070741 430
24 071214 444
24 070908 433
25 072357 599
25 072115 392
25 072253 508
25 072336 410
25 072032 541
25 071552 359
25 071925 546
25 071729 380
25 071542 591
25 071345 503
25 071523 357
26 071449 393
26 071839 389
27 072116 478
28 072830 88
29 072744 264
30 073028 143
31 073321 486
31 072629 563
31 072840 510
31 073051 197
32 073037 460
32 073135 219
33 073605 360
33 073012 438
33 073150 392
34 073954 528
34 073918 318
34 073444 446
34 073700 404
34 074102 394
34 073341 469
34 073816 409
34 073511 348
35 074240 409
35 073701 545
35 073904 320
36 074528 328
36 074125 467
36 074527 379
36 074205 277
37 074602 429
37 074117 507
37 074225 506
37 074704 379
37 074230 311
38 073930 385
38 074750 353
38 074410 325
38 074253 454
38 074456 570
38 075031 431
38 074358 445
38 074819 490
38 074629 378
38 074417 509
38 075142 398
38 074650 201
39 074747 558
39 074628 271
