99 200
32 74 740
68 84 844
19 70 188
85 87 879
33 67 668
27 74 271
36 43 357
55 68 549
3 17 30
59 81 591
38 61 614
37 45 449
6 77 773
58 64 640
36 89 896
9 81 91
17 44 437
37 52 371
55 99 546
26 34 253
23 34 229
73 95 736
21 66 208
67 94 941
79 92 790
10 22 217
7 84 847
3 84 845
1 33 1
40 82 402
38 59 589
82 99 996
47 55 473
64 69 645
21 47 475
78 97 972
48 92 476
72 83 832
36 62 625
9 88 884
23 54 226
20 82 827
46 52 465
8 35 350
20 38 199
5 93 935
25 49 245
75 78 778
64 67 641
19 68 188
48 81 481
51 56 515
19 96 185
46 53 463
71 76 710
7 80 804
13 24 235
27 41 411
56 68 556
12 65 121
39 41 392
43 97 971
7 44 436
46 88 462
62 92 621
27 70 702
71 98 709
57 86 862
10 72 91
41 97 406
49 83 833
62 98 985
30 41 300
39 64 638
8 36 76
48 99 996
33 65 650
1 13 131
14 85 136
84 91 844
12 39 391
25 72 727
3 49 495
4 91 918
77 82 770
63 80 630
40 94 943
33 34 344
41 83 408
59 77 594
7 66 66
11 94 947
63 76 628
64 85 857
3 74 23
14 96 970
40 44 436
47 92 473
8 59 591
9 76 88
34 45 452
38 77 768
20 31 200
7 22 71
43 83 838
44 76 764
25 78 785
22 84 214
8 21 72
63 71 717
10 12 120
58 96 586
28 50 279
71 89 712
50 76 767
66 90 907
30 88 296
27 81 264
55 59 594
11 15 110
11 84 840
63 90 907
61 63 637
49 92 489
5 26 43
28 58 583
18 41 414
13 95 124
12 36 120
48 86 869
30 66 660
7 78 62
32 72 723
41 67 411
20 39 195
53 63 628
94 99 946
54 78 780
91 93 918
8 76 77
34 47 334
51 53 529
44 98 983
7 85 67
74 85 856
2 52 16
34 42 418
11 24 242
31 36 311
20 73 737
18 32 174
81 91 919
12 57 119
38 93 378
23 31 310
37 92 925
20 51 513
59 99 592
54 85 857
48 52 480
87 97 978
37 73 732
34 58 581
40 64 638
17 55 164
63 72 631
65 80 652
83 90 833
14 99 139
6 9 59
44 45 442
1 30 295
14 72 725
37 39 391
42 45 418
75 99 993
66 72 720
9 57 91
1 50 1
73 79 729
74 90 905
10 42 96
31 61 304
64 68 646
73 96 970
55 69 697
3 60 29
82 91 819
5 51 507
19 64 641
23 96 969
6 62 621
69 72 722
64 71 711
3 99 992
55 97 976
13 94 128
27 39 265
8 53 73
5 49 48
50
3 5 6 7 8 10 11 12 13 14 15 17 18 19 23 24 26 27 29 30 31 32 33 35 36 43 44 45 46 47 48 51 52 55 56 59 65 66 68 73 74 76 77 81 83 84 85 95 96 99
