95 180
54 56 568
24 39 246
7 77 802
4 36 373
7 62 646
23 30 240
8 37 380
4 35 38
44 77 460
85 87 914
40 80 835
82 91 951
61 68 710
30 41 307
6 74 62
47 86 492
5 44 53
15 31 326
36 84 376
23 89 927
52 58 607
6 30 57
73 91 952
20 76 798
16 36 160
38 69 719
36 75 786
56 88 926
48 55 571
73 80 837
57 87 909
42 76 794
14 58 607
45 91 470
42 74 442
19 61 192
8 33 79
3 8 27
1 92 966
8 72 74
10 38 106
3 89 26
30 64 670
17 94 981
36 79 830
21 92 959
27 85 894
26 74 773
9 90 944
56 60 629
2 21 16
11 93 108
1 30 3
26 81 264
43 81 448
4 7 73
19 56 583
83 88 926
2 69 726
25 43 263
21 69 727
21 58 601
11 26 114
39 57 401
2 52 18
41 81 844
47 52 541
67 77 705
4 58 34
55 87 576
38 62 646
4 56 36
6 40 61
58 79 825
24 51 250
25 47 257
76 79 790
82 85 887
46 58 605
48 91 951
71 80 742
33 72 749
45 83 468
20 36 376
33 77 802
2 20 21
3 55 27
23 83 237
62 81 844
19 39 198
32 49 513
52 92 959
13 48 498
31 53 325
65 92 964
47 50 522
41 88 917
63 83 867
7 68 708
3 86 904
40 57 598
46 88 920
1 59 5
17 40 175
8 44 461
65 69 678
41 46 483
40 47 495
58 88 916
19 23 198
22 73 226
67 87 909
17 63 659
37 74 775
3 48 22
1 36 6
13 55 576
1 16 165
24 32 246
25 83 872
18 33 189
55 93 569
25 85 891
1 74 771
26 60 264
49 61 637
73 94 767
39 67 403
4 64 34
8 62 84
55 66 689
50 86 526
37 57 594
28 31 291
76 87 795
47 59 618
24 26 250
15 32 334
39 95 405
16 67 162
13 22 227
3 83 22
18 79 823
63 82 656
16 90 164
20 52 546
17 75 171
29 68 301
22 33 224
18 39 190
17 85 178
41 70 730
1 87 11
62 89 649
29 64 301
36 59 617
25 37 386
2 64 671
33 86 343
58 59 617
34 74 353
34 79 356
32 91 327
39 65 411
9 30 86
17 36 176
27 70 282
34 77 806
32 67 327
54 95 568
5 67 43
23 40 413
33 67 348
30 42 315
20 74 778
37 88 380
42 52 541
11 24 253
89 90 940
51 75 533
50
2 5 9 13 14 15 16 18 19 20 22 24 26 27 28 30 31 33 35 36 37 39 40 45 46 49 50 51 52 54 57 63 65 66 67 68 70 71 72 75 76 77 79 81 84 85 86 87 93 95
