40 90
8 19 200
9 23 213
5 28 124
28 36 680
10 25 609
28 39 687
14 36 899
21 34 849
16 18 398
25 39 603
10 20 243
29 36 723
19 30 462
20 34 837
28 34 684
2 23 551
37 39 965
1 11 251
22 27 653
7 26 649
35 36 867
6 36 886
37 38 913
16 36 398
32 39 965
8 14 184
8 11 253
15 33 361
11 27 257
15 25 375
14 26 326
13 25 609
18 20 478
22 25 538
19 39 454
13 18 323
28 37 680
12 39 967
6 11 146
31 34 761
1 6 136
3 35 61
9 20 207
21 24 584
18 29 715
26 31 644
5 25 110
6 16 129
6 21 521
23 37 573
7 23 575
12 35 874
13 19 322
13 29 303
4 27 97
26 34 849
3 9 217
15 19 354
12 18 435
13 39 962
3 7 175
19 35 862
16 22 543
19 25 603
15 21 518
7 24 166
10 13 234
22 26 628
17 30 416
34 36 898
7 13 306
18 19 468
17 24 589
11 19 464
21 23 512
2 18 449
11 34 258
6 10 234
12 36 888
7 35 861
9 32 219
6 33 819
1 9 210
4 32 85
7 34 170
24 25 624
12 17 286
33 40 998
7 30 737
17 21 517
15
2 3 8 9 15 17 19 20 21 22 25 29 32 37 38
