25 60
15 17 655
6 10 365
15 18 585
13 25 507
18 24 707
6 20 218
1 18 10
19 24 733
4 18 122
24 25 995
2 19 63
1 11 5
5 14 192
7 9 340
2 24 940
4 13 128
9 16 623
17 23 881
12 18 479
2 13 50
20 25 767
1 13 503
13 16 498
12 20 463
4 5 175
8 11 438
1 7 245
4 9 148
12 24 447
10 16 382
2 22 874
1 20 796
2 3 56
14 21 543
19 25 725
3 21 833
11 16 408
2 9 64
2 15 585
9 21 352
6 23 237
3 12 444
16 18 602
6 11 211
5 18 692
2 23 902
5 20 796
9 23 919
13 23 488
10 23 377
12 22 471
19 22 746
2 12 42
11 21 838
22 24 850
8 23 304
3 24 940
10 11 375
11 18 431
19 20 776
8
3 4 7 9 17 20 23 24
