50 120
6 14 115
20 41 386
14 50 996
29 50 981
28 38 741
5 50 94
27 36 528
15 45 298
21 47 404
6 8 146
28 40 789
7 47 922
34 41 679
21 33 659
7 50 983
23 28 549
1 27 12
32 37 722
1 22 10
7 15 289
11 25 218
37 48 725
8 13 155
18 25 351
18 22 353
21 28 413
10 26 184
5 32 89
4 44 880
7 41 131
1 28 547
6 30 105
9 14 275
20 26 501
36 37 727
7 44 861
9 37 723
15 30 292
20 23 442
21 36 715
33 49 641
23 48 949
12 39 224
8 11 158
13 50 256
35 39 685
5 41 807
14 48 954
10 29 200
38 40 787
8 19 375
26 49 966
3 38 742
27 29 568
36 39 720
9 11 170
24 46 910
18 31 613
8 34 666
35 41 689
2 34 22
12 44 863
14 28 261
9 21 417
20 30 582
12 36 221
11 42 831
39 50 996
26 43 504
4 33 651
43 46 905
39 44 761
27 35 532
14 22 437
11 26 516
16 33 646
12 46 913
6 10 185
5 28 559
6 35 684
21 50 990
14 35 696
2 39 25
13 17 323
12 49 964
18 27 536
21 42 401
22 44 867
20 32 385
19 29 570
38 49 970
33 44 642
25 28 548
32 49 970
43 48 842
16 39 315
17 25 323
12 33 226
4 25 64
16 37 736
19 46 369
4 34 678
14 20 399
19 24 480
31 33 610
1 24 478
2 7 128
7 38 134
11 45 898
1 42 2
16 42 305
40 45 890
18 40 349
15 27 291
13 38 244
2 4 31
7 12 234
6 27 536
10 46 195
38 48 959
30
2 5 8 9 10 11 13 14 15 18 22 23 24 25 26 27 29 30 32 33 34 38 39 40 41 43 46 47 48 49
