75 140
22 28 364
10 69 914
7 25 322
58 71 761
19 73 965
51 61 802
19 44 587
5 49 642
31 57 755
47 75 993
9 42 560
41 66 871
60 63 797
4 15 46
2 46 19
13 39 162
27 48 636
2 40 19
3 45 595
22 62 293
53 70 706
13 38 502
23 28 299
69 74 915
19 21 268
1 67 3
55 66 728
9 68 906
8 23 295
23 64 302
14 57 752
4 39 42
33 67 429
59 68 901
64 66 869
6 32 425
10 12 130
8 48 639
13 69 166
7 34 442
3 56 32
53 64 698
30 40 391
19 42 550
19 50 249
20 35 467
30 56 389
46 71 934
2 67 23
13 61 803
28 44 366
40 60 792
5 55 54
18 40 237
60 67 794
21 66 870
33 56 738
5 54 55
3 18 28
57 74 977
18 54 233
11 69 142
18 57 239
24 54 714
37 73 972
8 19 253
11 48 638
20 55 721
20 68 896
31 65 409
24 40 312
8 67 885
15 29 197
16 67 888
27 55 353
43 61 574
24 31 408
40 55 533
1 35 4
38 39 505
27 69 908
3 35 38
38 44 576
1 69 7
59 61 784
56 61 801
41 44 579
33 44 439
40 68 528
45 47 598
13 36 475
39 56 508
5 26 60
4 55 728
12 70 151
52 55 682
63 74 836
8 30 104
28 38 361
9 10 119
30 75 398
20 22 258
57 72 950
37 54 715
39 71 941
3 39 38
49 52 688
30 48 387
6 30 391
15 43 574
68 75 995
50 59 785
46 52 604
35 38 498
35 69 910
1 31 13
37 39 517
27 43 350
14 40 183
27 30 392
31 63 833
20 62 825
22 70 925
25 42 323
6 59 79
2 73 23
8 74 984
9 44 579
20 23 267
20 45 594
13 75 990
38 63 502
29 54 714
45 59 782
50 67 658
14 70 181
15 20 193
46 54 713
20 48 257
14 43 573
40
2 5 7 8 10 12 15 16 17 18 19 21 23 25 26 27 28 31 33 34 37 42 43 44 47 48 50 51 52 53 56 57 59 64 65 67 68 69 74 75
